agent_name	source_repo	file_path	file_size	line_count
postgres-pro	voltagent-subagents	sources/voltagent-subagents/categories/05-data-ai/postgres-pro.md	6823	286
cs-growth-strategist	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/business-growth/cs-growth-strategist.md	2883	66
prompt-engineer	voltagent-subagents	sources/voltagent-subagents/categories/05-data-ai/prompt-engineer.md	6703	286
cs-ceo-advisor	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/c-level/cs-ceo-advisor.md	15909	360
reinforcement-learning-engineer	voltagent-subagents	sources/voltagent-subagents/categories/05-data-ai/reinforcement-learning-engineer.md	7439	277
cs-cto-advisor	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/c-level/cs-cto-advisor.md	17238	412
build-engineer	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/build-engineer.md	7140	285
CLAUDE	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/CLAUDE.md	12799	380
cli-developer	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/cli-developer.md	6926	285
cs-senior-engineer	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/engineering/cs-senior-engineer.md	4599	97
dependency-manager	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/dependency-manager.md	7155	285
cs-engineering-lead	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/engineering-team/cs-engineering-lead.md	3611	86
documentation-engineer	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/documentation-engineer.md	7024	275
cs-workspace-admin	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/engineering-team/cs-workspace-admin.md	7334	160
dx-optimizer	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/dx-optimizer.md	6878	285
cs-financial-analyst	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/finance/cs-financial-analyst.md	4835	110
git-workflow-manager	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/git-workflow-manager.md	6966	285
cs-content-creator	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/marketing/cs-content-creator.md	11185	247
legacy-modernizer	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/legacy-modernizer.md	7067	285
cs-demand-gen-specialist	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/marketing/cs-demand-gen-specialist.md	13115	290
mcp-developer	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/mcp-developer.md	7214	274
content-strategist	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/personas/content-strategist.md	4453	82
powershell-module-architect	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/powershell-module-architect.md	2224	58
devops-engineer	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/personas/devops-engineer.md	5352	84
powershell-ui-architect	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/powershell-ui-architect.md	5756	135
finance-lead	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/personas/finance-lead.md	5353	78
readme-generator	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/readme-generator.md	6987	238
growth-marketer	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/personas/growth-marketer.md	9898	182
refactoring-specialist	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/refactoring-specialist.md	7224	285
product-manager	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/personas/product-manager.md	4907	83
solo-founder	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/personas/solo-founder.md	10296	198
slack-expert	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/slack-expert.md	6840	232
tooling-engineer	voltagent-subagents	sources/voltagent-subagents/categories/06-developer-experience/tooling-engineer.md	6713	285
startup-cto	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/personas/startup-cto.md	9458	179
api-documenter	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/api-documenter.md	6604	276
TEMPLATE	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/personas/TEMPLATE.md	2436	102
cs-agile-product-owner	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/product/cs-agile-product-owner.md	16444	416
blockchain-developer	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/blockchain-developer.md	6644	286
cs-product-analyst	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/product/cs-product-analyst.md	1077	31
embedded-systems	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/embedded-systems.md	6684	286
cs-product-manager	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/product/cs-product-manager.md	31242	684
fintech-engineer	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/fintech-engineer.md	7144	286
cs-product-strategist	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/product/cs-product-strategist.md	21089	487
game-developer	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/game-developer.md	6717	286
cs-ux-researcher	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/product/cs-ux-researcher.md	23858	531
iot-engineer	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/iot-engineer.md	6649	286
cs-project-manager	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/project-management/cs-project-manager.md	25403	515
m365-admin	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/m365-admin.md	1897	48
cs-quality-regulatory	alirezarezvani-claude-skills	sources/alirezarezvani-claude-skills/agents/ra-qm-team/cs-quality-regulatory.md	3992	86
mobile-app-developer	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/mobile-app-developer.md	6960	286
payment-integration	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/payment-integration.md	7027	286
quant-analyst	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/quant-analyst.md	7121	286
risk-manager	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/risk-manager.md	6905	286
architect	everything-claude-code	sources/everything-claude-code/agents/architect.md	6502	211
seo-specialist	voltagent-subagents	sources/voltagent-subagents/categories/07-specialized-domains/seo-specialist.md	5479	183
build-error-resolver	everything-claude-code	sources/everything-claude-code/agents/build-error-resolver.md	3884	114
business-analyst	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/business-analyst.md	6991	286
chief-of-staff	everything-claude-code	sources/everything-claude-code/agents/chief-of-staff.md	5770	151
content-marketer	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/content-marketer.md	6706	286
code-architect	everything-claude-code	sources/everything-claude-code/agents/code-architect.md	1605	71
customer-success-manager	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/customer-success-manager.md	7194	286
code-explorer	everything-claude-code	sources/everything-claude-code/agents/code-explorer.md	1669	69
legal-advisor	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/legal-advisor.md	6932	286
code-reviewer	everything-claude-code	sources/everything-claude-code/agents/code-reviewer.md	9084	237
license-engineer	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/license-engineer.md	8658	295
code-simplifier	everything-claude-code	sources/everything-claude-code/agents/code-simplifier.md	1321	47
product-manager	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/product-manager.md	6827	286
comment-analyzer	everything-claude-code	sources/everything-claude-code/agents/comment-analyzer.md	1095	45
project-manager	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/project-manager.md	6790	286
conversation-analyzer	everything-claude-code	sources/everything-claude-code/agents/conversation-analyzer.md	1497	52
sales-engineer	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/sales-engineer.md	7276	286
cpp-build-resolver	everything-claude-code	sources/everything-claude-code/agents/cpp-build-resolver.md	3219	90
scrum-master	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/scrum-master.md	7037	286
cpp-reviewer	everything-claude-code	sources/everything-claude-code/agents/cpp-reviewer.md	3061	72
technical-writer	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/technical-writer.md	6806	286
csharp-reviewer	everything-claude-code	sources/everything-claude-code/agents/csharp-reviewer.md	4810	101
ux-researcher	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/ux-researcher.md	7093	286
dart-build-resolver	everything-claude-code	sources/everything-claude-code/agents/dart-build-resolver.md	6893	201
wordpress-master	voltagent-subagents	sources/voltagent-subagents/categories/08-business-product/wordpress-master.md	7874	315
database-reviewer	everything-claude-code	sources/everything-claude-code/agents/database-reviewer.md	4439	91
agent-installer	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/agent-installer.md	3656	97
doc-updater	everything-claude-code	sources/everything-claude-code/agents/doc-updater.md	3490	107
agent-organizer	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/agent-organizer.md	7228	286
docs-lookup	everything-claude-code	sources/everything-claude-code/agents/docs-lookup.md	3652	68
context-manager	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/context-manager.md	6857	286
e2e-runner	everything-claude-code	sources/everything-claude-code/agents/e2e-runner.md	4207	107
error-coordinator	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/error-coordinator.md	7191	286
flutter-reviewer	everything-claude-code	sources/everything-claude-code/agents/flutter-reviewer.md	14499	243
gan-evaluator	everything-claude-code	sources/everything-claude-code/agents/gan-evaluator.md	7177	209
it-ops-orchestrator	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/it-ops-orchestrator.md	2667	60
gan-generator	everything-claude-code	sources/everything-claude-code/agents/gan-generator.md	5041	131
knowledge-synthesizer	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/knowledge-synthesizer.md	7327	286
gan-planner	everything-claude-code	sources/everything-claude-code/agents/gan-planner.md	3616	99
multi-agent-coordinator	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/multi-agent-coordinator.md	7079	286
go-build-resolver	everything-claude-code	sources/everything-claude-code/agents/go-build-resolver.md	3360	94
performance-monitor	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/performance-monitor.md	7098	286
go-reviewer	everything-claude-code	sources/everything-claude-code/agents/go-reviewer.md	2864	76
task-distributor	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/task-distributor.md	6954	286
harness-optimizer	everything-claude-code	sources/everything-claude-code/agents/harness-optimizer.md	963	35
workflow-orchestrator	voltagent-subagents	sources/voltagent-subagents/categories/09-meta-orchestration/workflow-orchestrator.md	6866	286
healthcare-reviewer	everything-claude-code	sources/everything-claude-code/agents/healthcare-reviewer.md	3402	83
competitive-analyst	voltagent-subagents	sources/voltagent-subagents/categories/10-research-analysis/competitive-analyst.md	7200	286
java-build-resolver	everything-claude-code	sources/everything-claude-code/agents/java-build-resolver.md	5884	153
data-researcher	voltagent-subagents	sources/voltagent-subagents/categories/10-research-analysis/data-researcher.md	7027	286
java-reviewer	everything-claude-code	sources/everything-claude-code/agents/java-reviewer.md	5788	92
market-researcher	voltagent-subagents	sources/voltagent-subagents/categories/10-research-analysis/market-researcher.md	7044	286
project-idea-validator	voltagent-subagents	sources/voltagent-subagents/categories/10-research-analysis/project-idea-validator.md	7149	269
kotlin-build-resolver	everything-claude-code	sources/everything-claude-code/agents/kotlin-build-resolver.md	4342	118
research-analyst	voltagent-subagents	sources/voltagent-subagents/categories/10-research-analysis/research-analyst.md	7037	286
kotlin-reviewer	everything-claude-code	sources/everything-claude-code/agents/kotlin-reviewer.md	6855	159
scientific-literature-researcher	voltagent-subagents	sources/voltagent-subagents/categories/10-research-analysis/scientific-literature-researcher.md	5401	151
loop-operator	everything-claude-code	sources/everything-claude-code/agents/loop-operator.md	958	36
search-specialist	voltagent-subagents	sources/voltagent-subagents/categories/10-research-analysis/search-specialist.md	7072	286
