hook_name	source_repo	file_path	file_size
hooks.json	everything-claude-code	sources/everything-claude-code/hooks/hooks.json	30875
README.md	everything-claude-code	sources/everything-claude-code/hooks/README.md	8985
hooks.json	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/hooks.json	4871
auto-test.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/auto-test.js	1875
block-dev-server.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/block-dev-server.js	1010
block-md-creation.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/block-md-creation.js	953
bundle-check.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/bundle-check.js	1707
commit-guard.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/commit-guard.js	1342
context-loader.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/context-loader.js	1623
learning-log.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/learning-log.js	1333
lint-fix.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/lint-fix.js	1601
notification-log.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/notification-log.js	1111
post-edit-check.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/post-edit-check.js	1268
pre-compact.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/pre-compact.js	1131
pre-push-check.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/pre-push-check.js	928
prompt-check.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/prompt-check.js	1177
secret-scanner.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/secret-scanner.js	1808
session-end.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/session-end.js	1259
session-start.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/session-start.js	1462
smart-approve.py	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/smart-approve.py	19573
stop-check.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/stop-check.js	999
suggest-compact.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/suggest-compact.js	991
type-check.js	rohitg00-toolkit	sources/rohitg00-toolkit/hooks/scripts/type-check.js	1420
