skill_name	source_repo	file_path	file_size	line_count
azure-storage-file-share-py	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/azure-storage-file-share-py//SKILL.md	5297	242
angular-ui-patterns	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/angular-ui-patterns//SKILL.md	11803	512
performance-profiling	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/performance-profiling//SKILL.md	3373	148
azure-storage-file-share-ts	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/azure-storage-file-share-ts//SKILL.md	12510	497
angular	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/angular//SKILL.md	20966	818
performance-testing-review-ai-review	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/performance-testing-review-ai-review//SKILL.md	16076	453
algorithmic-art	anthropics-skills	sources/anthropics-skills/skills/algorithmic-art//SKILL.md	20173	404
azure-storage-queue-py	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/azure-storage-queue-py//SKILL.md	5367	216
animejs-animation	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/animejs-animation//SKILL.md	2366	51
performance-testing-review-multi-agent-review	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/performance-testing-review-multi-agent-review//SKILL.md	7015	219
brand-guidelines	anthropics-skills	sources/anthropics-skills/skills/brand-guidelines//SKILL.md	2308	73
azure-storage-queue-ts	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/azure-storage-queue-ts//SKILL.md	13661	528
anti-reversing-techniques	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/anti-reversing-techniques//SKILL.md	2095	45
personal-tool-builder	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/personal-tool-builder//SKILL.md	18298	787
azure-web-pubsub-ts	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/azure-web-pubsub-ts//SKILL.md	7895	315
canvas-design	anthropics-skills	sources/anthropics-skills/skills/canvas-design//SKILL.md	12068	129
phase-gated-debugging	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/phase-gated-debugging//SKILL.md	2773	70
antigravity-design-expert	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/antigravity-design-expert//SKILL.md	3084	48
backend-architect	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/backend-architect//SKILL.md	18912	329
claude-api	anthropics-skills	sources/anthropics-skills/skills/claude-api//SKILL.md	28997	310
php-pro	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/php-pro//SKILL.md	2688	68
backend-dev-guidelines	antigravity-awesome-skills	sources/antigravity-awesome-skills/skills/backend-dev-guidelines//SKILL.md	8035	347
